date,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,rmsle_delta_lightgbm_minus_baseline,wape_delta_lightgbm_minus_baseline,better_model_by_date_rmsle
2017-07-31,1782.0,885856.840871,843632.558628,0.472409,68.227371,0.137247,-23.694883,-0.047665,121581.174935,0.04386,1782.0,885856.840871,822685.522723,0.407111,61.638754,0.123993,-35.449673,-0.071311,109840.259212,0.056539,-0.065298,-0.013254,lightgbm_v1
2017-08-01,1782.0,988527.763204,843632.558628,0.467099,106.271178,0.191573,-81.31044,-0.146577,189375.238797,0.068317,1782.0,988527.763204,932465.561962,0.399928,79.577642,0.143453,-31.46027,-0.056713,141807.357313,0.072993,-0.067171,-0.04812,lightgbm_v1
2017-08-02,1782.0,964712.016051,843632.558628,0.474172,95.576254,0.176547,-67.945823,-0.125508,170316.883787,0.061441,1782.0,964712.016051,900616.524858,0.398746,66.337248,0.122537,-35.968289,-0.06644,118212.976305,0.060848,-0.075425,-0.05401,lightgbm_v1
2017-08-03,1782.0,728068.485132,843632.558628,0.505434,101.041352,0.247306,64.850771,0.158727,180055.689226,0.064955,1782.0,728068.485132,738391.638094,0.400591,58.076863,0.142147,5.793015,0.014179,103492.969234,0.053271,-0.104843,-0.105159,lightgbm_v1
2017-08-04,1782.0,827775.686128,843632.558628,0.512329,82.840274,0.178335,8.898357,0.019156,147621.368229,0.053254,1782.0,827775.686128,821862.035839,0.418337,63.909938,0.137583,-3.318547,-0.007144,113887.508824,0.058622,-0.093992,-0.040752,lightgbm_v1
2017-08-05,1782.0,965693.650492,843632.558628,0.494273,93.351481,0.172262,-68.496685,-0.126397,166352.339299,0.060011,1782.0,965693.650492,976254.094209,0.385633,67.296649,0.124183,5.926175,0.010936,119922.62918,0.061728,-0.108639,-0.048079,lightgbm_v1
2017-08-06,1782.0,1049559.164277,843632.558628,0.543043,146.960688,0.249518,-115.559262,-0.196203,261883.945793,0.094474,1782.0,1049559.164277,1050121.897234,0.410281,68.281213,0.115932,0.315787,0.000536,121677.122212,0.062631,-0.132762,-0.133586,lightgbm_v1
2017-08-07,1782.0,797464.963817,843632.558628,0.524749,69.958464,0.156328,25.907741,0.057893,124665.982261,0.044973,1782.0,797464.963817,775794.73726,0.415188,52.776535,0.117933,-12.160621,-0.027174,94047.785425,0.04841,-0.109561,-0.038394,lightgbm_v1
2017-08-08,1782.0,717766.349106,843632.558628,0.543587,111.726027,0.277382,70.631992,0.175358,199095.779914,0.071823,1782.0,717766.349106,701573.869664,0.422087,49.595408,0.123131,-9.086689,-0.02256,88379.017754,0.045492,-0.1215,-0.154252,lightgbm_v1
2017-08-09,1782.0,734139.67401,843632.558628,0.521609,103.123005,0.250314,61.443819,0.149144,183765.194561,0.066293,1782.0,734139.67401,731109.342764,0.398354,48.701884,0.118216,-1.700523,-0.004128,86786.756521,0.044672,-0.123255,-0.132098,lightgbm_v1
2017-08-10,1782.0,651386.91197,843632.558628,0.542193,130.500218,0.35701,107.881957,0.295133,232551.388234,0.083892,1782.0,651386.91197,649912.045257,0.404537,55.188317,0.150979,-0.827647,-0.002264,98345.580701,0.050622,-0.137656,-0.206031,lightgbm_v1
2017-08-11,1782.0,826373.722022,843632.558628,0.550726,92.804455,0.200124,9.685093,0.020885,165377.538394,0.059659,1782.0,826373.722022,875394.04451,0.420803,90.915668,0.196051,27.508598,0.05932,162011.720691,0.083393,-0.129922,-0.004073,lightgbm_v1
2017-08-12,1782.0,792630.535078,843632.558628,0.538265,88.044692,0.197943,28.620664,0.064345,156895.640737,0.0566,1782.0,792630.535078,902083.808521,0.434633,110.572337,0.24859,61.42159,0.138089,197039.903762,0.101423,-0.103631,0.050647,lightgbm_v1
2017-08-13,1782.0,865639.677471,843632.558628,0.545177,83.369931,0.171625,-12.349674,-0.025423,148565.217497,0.053594,1782.0,865639.677471,968631.16181,0.42791,95.501507,0.196599,57.795446,0.118977,170183.685948,0.087599,-0.117267,0.024974,lightgbm_v1
2017-08-14,1782.0,760922.406081,843632.558628,0.561833,79.296995,0.185705,46.414227,0.108697,141307.245104,0.050976,1782.0,760922.406081,747618.393261,0.458733,58.362213,0.136678,-7.465776,-0.017484,104001.463501,0.053533,-0.1031,-0.049027,lightgbm_v1
2017-08-15,1782.0,762661.935939,843632.558628,0.535472,102.477075,0.239443,45.43806,0.106168,182614.148084,0.065878,1782.0,762661.935939,713556.6551,0.456807,63.475023,0.148313,-27.556274,-0.064387,113112.491117,0.058223,-0.078666,-0.09113,lightgbm_v1
