family,sales_volume_segment,zero_sales_pct,promotion_rows_pct,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,wape_lightgbm,total_bias_pct_lightgbm,error_contribution_pct_lightgbm,better_model_by_family_rmsle
AUTOMOTIVE,regular_volume_family,0.028935,0.011574,6381.0,5551.659474,0.509269,0.384353,-0.12997,0.001262,lightgbm_v1
BABY CARE,regular_volume_family,0.876157,0.001157,160.0,146.969303,0.292073,1.423213,-0.081442,0.000117,lightgbm_v1
BEAUTY,regular_volume_family,0.092593,0.584491,5757.0,4912.164229,0.480183,0.359287,-0.146749,0.001065,lightgbm_v1
BEVERAGES,high_volume_family,0.0,0.996528,3005407.0,2992293.865425,0.28249,0.158838,-0.004363,0.245721,baseline_rolling_mean_28_origin
BOOKS,regular_volume_family,0.990741,0.0,9.0,55.450113,0.116781,6.876895,5.161124,3.2e-05,baseline_rolling_mean_28_origin
BREAD/BAKERY,high_volume_family,0.0,0.905093,466795.50089,470157.33998,0.231634,0.127425,0.007202,0.030617,lightgbm_v1
CELEBRATION,regular_volume_family,0.015046,0.005787,10768.0,9661.811899,0.558445,0.397221,-0.102729,0.002202,lightgbm_v1
CLEANING,high_volume_family,0.0,0.996528,1065243.0,1083779.384447,0.300343,0.201877,0.017401,0.110693,lightgbm_v1
DAIRY,high_volume_family,0.0,0.996528,721034.0,761418.183491,0.198442,0.114845,0.056009,0.042624,lightgbm_v1
DELI,regular_volume_family,0.0,0.996528,261902.894004,282916.120193,0.210592,0.142308,0.080233,0.019185,lightgbm_v1
EGGS,regular_volume_family,0.0,0.559028,172529.0,169606.822662,0.327603,0.185749,-0.016937,0.016496,lightgbm_v1
FROZEN FOODS,regular_volume_family,0.0,0.791667,110014.157977,104993.48156,0.307827,0.194324,-0.045637,0.011004,lightgbm_v1
GROCERY I,high_volume_family,0.0,0.996528,3980412.484,3897033.746344,0.235049,0.119722,-0.020947,0.245294,baseline_rolling_mean_28_origin
GROCERY II,regular_volume_family,0.017361,0.118056,25031.0,24875.257428,0.599467,0.349737,-0.006222,0.004506,lightgbm_v1
HARDWARE,regular_volume_family,0.375,0.0,1252.0,1016.124618,0.531137,0.735884,-0.188399,0.000474,lightgbm_v1
HOME AND KITCHEN I,regular_volume_family,0.001157,0.511574,27020.0,21517.084843,0.493897,0.356063,-0.203661,0.004952,lightgbm_v1
HOME AND KITCHEN II,regular_volume_family,0.0,0.58912,26789.0,23459.725932,0.462306,0.335011,-0.124278,0.00462,lightgbm_v1
HOME APPLIANCES,regular_volume_family,0.853009,0.0,173.0,309.123453,0.361519,2.092045,0.786841,0.000186,lightgbm_v1
HOME CARE,regular_volume_family,0.0,0.996528,251893.0,279027.567252,0.24715,0.193369,0.107723,0.025072,lightgbm_v1
LADIESWEAR,regular_volume_family,0.315972,0.108796,8711.0,8982.334332,0.521406,0.374171,0.031148,0.001678,lightgbm_v1
LAWN AND GARDEN,regular_volume_family,0.297454,0.108796,12908.0,12459.872984,0.423883,0.299078,-0.034717,0.001987,lightgbm_v1
LINGERIE,regular_volume_family,0.086806,0.209491,6716.0,5583.748684,0.625632,0.499128,-0.16859,0.001725,lightgbm_v1
"LIQUOR,WINE,BEER",regular_volume_family,0.001157,0.924769,84091.0,77472.113062,0.469402,0.276269,-0.078711,0.011958,lightgbm_v1
MAGAZINES,regular_volume_family,0.142361,0.0,6146.0,4390.496528,0.535461,0.419447,-0.285633,0.001327,lightgbm_v1
MEATS,high_volume_family,0.0,0.149306,321070.526643,316533.159491,0.298315,0.143467,-0.014132,0.02371,lightgbm_v1
PERSONAL CARE,high_volume_family,0.0,0.996528,277631.0,273320.330352,0.225923,0.148403,-0.015527,0.021208,lightgbm_v1
PET SUPPLIES,regular_volume_family,0.116898,0.0,7283.0,6560.509858,0.470567,0.315971,-0.099202,0.001185,lightgbm_v1
PLAYERS AND ELECTRONICS,regular_volume_family,0.030093,0.012731,10084.0,8949.149444,0.467689,0.300966,-0.11254,0.001562,lightgbm_v1
POULTRY,high_volume_family,0.0,0.283565,323560.26891,336278.559709,0.271224,0.142433,0.039307,0.023722,lightgbm_v1
PREPARED FOODS,regular_volume_family,0.0,0.193287,75871.654042,73986.985828,0.304031,0.179569,-0.02484,0.007013,baseline_rolling_mean_28_origin
PRODUCE,high_volume_family,0.0,0.99537,1977480.37616,2021245.342319,0.201391,0.112408,0.022132,0.114418,lightgbm_v1
SCHOOL AND OFFICE SUPPLIES,regular_volume_family,0.483796,0.288194,51795.0,12979.73787,0.761323,0.765209,-0.749402,0.020401,lightgbm_v1
SEAFOOD,regular_volume_family,0.085648,0.118056,17260.919022,16597.109956,0.507392,0.223482,-0.038457,0.001986,lightgbm_v1
