feature,importance_gain,importance_split,importance_gain_pct,importance_split_pct,gain_rank,split_rank,feature_group
sales_rolling_mean_7_shift_16,101848059.500577,1511,0.587233,0.042902,1,8,historical_sales
sales_lag_21,43542338.417969,1395,0.251055,0.039608,2,9,historical_sales
sales_rolling_mean_28_shift_16,7869209.891346,1862,0.045372,0.052868,3,5,historical_sales
sales_lag_16,5891257.066144,1187,0.033968,0.033702,4,12,historical_sales
family,3572612.430912,6439,0.020599,0.182822,5,1,store_product
sales_lag_28,2806113.421907,1254,0.016179,0.035605,6,10,historical_sales
dcoilwtico,1186312.849287,2241,0.00684,0.063629,7,4,oil
month,1137158.349759,3051,0.006557,0.086627,8,3,calendar
onpromotion,949232.899876,818,0.005473,0.023225,9,15,promotion
sales_rolling_mean_14_shift_16,784034.573235,948,0.004521,0.026917,10,14,historical_sales
store_nbr,778884.277698,5807,0.004491,0.164878,11,2,store_product
day_of_month,756422.27823,1728,0.004361,0.049063,12,6,calendar
year,652759.934191,1171,0.003764,0.033248,13,13,calendar
week_of_year,488900.896114,1702,0.002819,0.048325,14,7,calendar
day_of_week,231563.278623,1241,0.001335,0.035236,15,11,calendar
holiday_type_holiday,222629.338799,123,0.001284,0.003492,16,21,holiday_encoded
city,125506.823248,818,0.000724,0.023225,17,15,store_product
holiday_locale_national,125454.173228,199,0.000723,0.00565,18,19,holiday_encoded
is_weekend,111436.600128,212,0.000643,0.006019,19,18,calendar
calendar_event_count,77977.488725,118,0.00045,0.00335,20,23,events
