dataset,missing_date
train,2013-12-25
train,2014-12-25
train,2015-12-25
train,2016-12-25
oil,2013-01-05
oil,2013-01-06
oil,2013-01-12
oil,2013-01-13
oil,2013-01-19
oil,2013-01-20
oil,2013-01-26
oil,2013-01-27
oil,2013-02-02
oil,2013-02-03
oil,2013-02-09
oil,2013-02-10
oil,2013-02-16
oil,2013-02-17
oil,2013-02-23
oil,2013-02-24
oil,2013-03-02
oil,2013-03-03
oil,2013-03-09
oil,2013-03-10
oil,2013-03-16
oil,2013-03-17
oil,2013-03-23
oil,2013-03-24
oil,2013-03-30
oil,2013-03-31
oil,2013-04-06
oil,2013-04-07
oil,2013-04-13
oil,2013-04-14
oil,2013-04-20
oil,2013-04-21
oil,2013-04-27
oil,2013-04-28
oil,2013-05-04
oil,2013-05-05
oil,2013-05-11
oil,2013-05-12
oil,2013-05-18
oil,2013-05-19
oil,2013-05-25
oil,2013-05-26
oil,2013-06-01
oil,2013-06-02
oil,2013-06-08
oil,2013-06-09
oil,2013-06-15
oil,2013-06-16
oil,2013-06-22
oil,2013-06-23
oil,2013-06-29
oil,2013-06-30
oil,2013-07-06
oil,2013-07-07
oil,2013-07-13
oil,2013-07-14
oil,2013-07-20
oil,2013-07-21
oil,2013-07-27
oil,2013-07-28
oil,2013-08-03
oil,2013-08-04
oil,2013-08-10
oil,2013-08-11
oil,2013-08-17
oil,2013-08-18
oil,2013-08-24
oil,2013-08-25
oil,2013-08-31
oil,2013-09-01
oil,2013-09-07
oil,2013-09-08
oil,2013-09-14
oil,2013-09-15
oil,2013-09-21
oil,2013-09-22
oil,2013-09-28
oil,2013-09-29
oil,2013-10-05
oil,2013-10-06
oil,2013-10-12
oil,2013-10-13
oil,2013-10-19
oil,2013-10-20
oil,2013-10-26
oil,2013-10-27
oil,2013-11-02
oil,2013-11-03
oil,2013-11-09
oil,2013-11-10
oil,2013-11-16
oil,2013-11-17
oil,2013-11-23
oil,2013-11-24
oil,2013-11-30
oil,2013-12-01
oil,2013-12-07
oil,2013-12-08
oil,2013-12-14
oil,2013-12-15
oil,2013-12-21
oil,2013-12-22
oil,2013-12-28
oil,2013-12-29
oil,2014-01-04
oil,2014-01-05
oil,2014-01-11
oil,2014-01-12
oil,2014-01-18
oil,2014-01-19
oil,2014-01-25
oil,2014-01-26
oil,2014-02-01
oil,2014-02-02
oil,2014-02-08
oil,2014-02-09
oil,2014-02-15
oil,2014-02-16
oil,2014-02-22
oil,2014-02-23
oil,2014-03-01
oil,2014-03-02
oil,2014-03-08
oil,2014-03-09
oil,2014-03-15
oil,2014-03-16
oil,2014-03-22
oil,2014-03-23
oil,2014-03-29
oil,2014-03-30
oil,2014-04-05
oil,2014-04-06
oil,2014-04-12
oil,2014-04-13
oil,2014-04-19
oil,2014-04-20
oil,2014-04-26
oil,2014-04-27
oil,2014-05-03
oil,2014-05-04
oil,2014-05-10
oil,2014-05-11
oil,2014-05-17
oil,2014-05-18
oil,2014-05-24
oil,2014-05-25
oil,2014-05-31
oil,2014-06-01
oil,2014-06-07
oil,2014-06-08
oil,2014-06-14
oil,2014-06-15
oil,2014-06-21
oil,2014-06-22
oil,2014-06-28
oil,2014-06-29
oil,2014-07-05
oil,2014-07-06
oil,2014-07-12
oil,2014-07-13
oil,2014-07-19
oil,2014-07-20
oil,2014-07-26
oil,2014-07-27
oil,2014-08-02
oil,2014-08-03
oil,2014-08-09
oil,2014-08-10
oil,2014-08-16
oil,2014-08-17
oil,2014-08-23
oil,2014-08-24
oil,2014-08-30
oil,2014-08-31
oil,2014-09-06
oil,2014-09-07
oil,2014-09-13
oil,2014-09-14
oil,2014-09-20
oil,2014-09-21
oil,2014-09-27
oil,2014-09-28
oil,2014-10-04
oil,2014-10-05
oil,2014-10-11
oil,2014-10-12
oil,2014-10-18
oil,2014-10-19
oil,2014-10-25
oil,2014-10-26
oil,2014-11-01
oil,2014-11-02
oil,2014-11-08
oil,2014-11-09
oil,2014-11-15
oil,2014-11-16
oil,2014-11-22
oil,2014-11-23
oil,2014-11-29
oil,2014-11-30
oil,2014-12-06
oil,2014-12-07
oil,2014-12-13
oil,2014-12-14
oil,2014-12-20
oil,2014-12-21
oil,2014-12-27
oil,2014-12-28
oil,2015-01-03
oil,2015-01-04
oil,2015-01-10
oil,2015-01-11
oil,2015-01-17
oil,2015-01-18
oil,2015-01-24
oil,2015-01-25
oil,2015-01-31
oil,2015-02-01
oil,2015-02-07
oil,2015-02-08
oil,2015-02-14
oil,2015-02-15
oil,2015-02-21
oil,2015-02-22
oil,2015-02-28
oil,2015-03-01
oil,2015-03-07
oil,2015-03-08
oil,2015-03-14
oil,2015-03-15
oil,2015-03-21
oil,2015-03-22
oil,2015-03-28
oil,2015-03-29
oil,2015-04-04
oil,2015-04-05
oil,2015-04-11
oil,2015-04-12
oil,2015-04-18
oil,2015-04-19
oil,2015-04-25
oil,2015-04-26
oil,2015-05-02
oil,2015-05-03
oil,2015-05-09
oil,2015-05-10
oil,2015-05-16
oil,2015-05-17
oil,2015-05-23
oil,2015-05-24
oil,2015-05-30
oil,2015-05-31
oil,2015-06-06
oil,2015-06-07
oil,2015-06-13
oil,2015-06-14
oil,2015-06-20
oil,2015-06-21
oil,2015-06-27
oil,2015-06-28
oil,2015-07-04
oil,2015-07-05
oil,2015-07-11
oil,2015-07-12
oil,2015-07-18
oil,2015-07-19
oil,2015-07-25
oil,2015-07-26
oil,2015-08-01
oil,2015-08-02
oil,2015-08-08
oil,2015-08-09
oil,2015-08-15
oil,2015-08-16
oil,2015-08-22
oil,2015-08-23
oil,2015-08-29
oil,2015-08-30
oil,2015-09-05
oil,2015-09-06
oil,2015-09-12
oil,2015-09-13
oil,2015-09-19
oil,2015-09-20
oil,2015-09-26
oil,2015-09-27
oil,2015-10-03
oil,2015-10-04
oil,2015-10-10
oil,2015-10-11
oil,2015-10-17
oil,2015-10-18
oil,2015-10-24
oil,2015-10-25
oil,2015-10-31
oil,2015-11-01
oil,2015-11-07
oil,2015-11-08
oil,2015-11-14
oil,2015-11-15
oil,2015-11-21
oil,2015-11-22
oil,2015-11-28
oil,2015-11-29
oil,2015-12-05
oil,2015-12-06
oil,2015-12-12
oil,2015-12-13
oil,2015-12-19
oil,2015-12-20
oil,2015-12-26
oil,2015-12-27
oil,2016-01-02
oil,2016-01-03
oil,2016-01-09
oil,2016-01-10
oil,2016-01-16
oil,2016-01-17
oil,2016-01-23
oil,2016-01-24
oil,2016-01-30
oil,2016-01-31
oil,2016-02-06
oil,2016-02-07
oil,2016-02-13
oil,2016-02-14
oil,2016-02-20
oil,2016-02-21
oil,2016-02-27
oil,2016-02-28
oil,2016-03-05
oil,2016-03-06
oil,2016-03-12
oil,2016-03-13
oil,2016-03-19
oil,2016-03-20
oil,2016-03-26
oil,2016-03-27
oil,2016-04-02
oil,2016-04-03
oil,2016-04-09
oil,2016-04-10
oil,2016-04-16
oil,2016-04-17
oil,2016-04-23
oil,2016-04-24
oil,2016-04-30
oil,2016-05-01
oil,2016-05-07
oil,2016-05-08
oil,2016-05-14
oil,2016-05-15
oil,2016-05-21
oil,2016-05-22
oil,2016-05-28
oil,2016-05-29
oil,2016-06-04
oil,2016-06-05
oil,2016-06-11
oil,2016-06-12
oil,2016-06-18
oil,2016-06-19
oil,2016-06-25
oil,2016-06-26
oil,2016-07-02
oil,2016-07-03
oil,2016-07-09
oil,2016-07-10
oil,2016-07-16
oil,2016-07-17
oil,2016-07-23
oil,2016-07-24
oil,2016-07-30
oil,2016-07-31
oil,2016-08-06
oil,2016-08-07
oil,2016-08-13
oil,2016-08-14
oil,2016-08-20
oil,2016-08-21
oil,2016-08-27
oil,2016-08-28
oil,2016-09-03
oil,2016-09-04
oil,2016-09-10
oil,2016-09-11
oil,2016-09-17
oil,2016-09-18
oil,2016-09-24
oil,2016-09-25
oil,2016-10-01
oil,2016-10-02
oil,2016-10-08
oil,2016-10-09
oil,2016-10-15
oil,2016-10-16
oil,2016-10-22
oil,2016-10-23
oil,2016-10-29
oil,2016-10-30
oil,2016-11-05
oil,2016-11-06
oil,2016-11-12
oil,2016-11-13
oil,2016-11-19
oil,2016-11-20
oil,2016-11-26
oil,2016-11-27
oil,2016-12-03
oil,2016-12-04
oil,2016-12-10
oil,2016-12-11
oil,2016-12-17
oil,2016-12-18
oil,2016-12-24
oil,2016-12-25
oil,2016-12-31
oil,2017-01-01
oil,2017-01-07
oil,2017-01-08
oil,2017-01-14
oil,2017-01-15
oil,2017-01-21
oil,2017-01-22
oil,2017-01-28
oil,2017-01-29
oil,2017-02-04
oil,2017-02-05
oil,2017-02-11
oil,2017-02-12
oil,2017-02-18
oil,2017-02-19
oil,2017-02-25
oil,2017-02-26
oil,2017-03-04
oil,2017-03-05
oil,2017-03-11
oil,2017-03-12
oil,2017-03-18
oil,2017-03-19
oil,2017-03-25
oil,2017-03-26
oil,2017-04-01
oil,2017-04-02
oil,2017-04-08
oil,2017-04-09
oil,2017-04-15
oil,2017-04-16
oil,2017-04-22
oil,2017-04-23
oil,2017-04-29
oil,2017-04-30
oil,2017-05-06
oil,2017-05-07
oil,2017-05-13
oil,2017-05-14
oil,2017-05-20
oil,2017-05-21
oil,2017-05-27
oil,2017-05-28
oil,2017-06-03
oil,2017-06-04
oil,2017-06-10
