dataset,column_name,dtype,missing_values,missing_pct,unique_values
train,id,int64,0,0.0,3000888
train,date,datetime64[us],0,0.0,1684
train,store_nbr,int64,0,0.0,54
train,family,str,0,0.0,33
train,sales,float64,0,0.0,379610
train,onpromotion,int64,0,0.0,362
test,id,int64,0,0.0,28512
test,date,datetime64[us],0,0.0,16
test,store_nbr,int64,0,0.0,54
test,family,str,0,0.0,33
test,onpromotion,int64,0,0.0,212
stores,store_nbr,int64,0,0.0,54
stores,city,str,0,0.0,22
stores,state,str,0,0.0,16
stores,type,str,0,0.0,5
stores,cluster,int64,0,0.0,17
oil,date,datetime64[us],0,0.0,1218
oil,dcoilwtico,float64,43,3.5304,998
holidays,date,datetime64[us],0,0.0,312
holidays,type,str,0,0.0,6
holidays,locale,str,0,0.0,3
holidays,locale_name,str,0,0.0,24
holidays,description,str,0,0.0,103
holidays,transferred,bool,0,0.0,2
transactions,date,datetime64[us],0,0.0,1682
transactions,store_nbr,int64,0,0.0,54
transactions,transactions,int64,0,0.0,4993
sample_submission,id,int64,0,0.0,28512
sample_submission,sales,float64,0,0.0,1
