dataset,date,duplicate_count
holidays,2014-06-25,4
holidays,2012-06-25,3
holidays,2013-06-25,3
holidays,2015-06-25,3
holidays,2016-06-25,3
holidays,2017-06-25,3
holidays,2012-07-03,2
holidays,2012-12-22,2
holidays,2012-12-24,2
holidays,2012-12-31,2
holidays,2013-05-12,2
holidays,2013-07-03,2
holidays,2013-12-22,2
holidays,2014-07-03,2
holidays,2014-12-22,2
holidays,2014-12-26,2
holidays,2015-07-03,2
holidays,2015-12-22,2
holidays,2016-04-21,2
holidays,2016-05-01,2
holidays,2016-05-07,2
holidays,2016-05-08,2
holidays,2016-05-12,2
holidays,2016-07-03,2
holidays,2016-07-24,2
holidays,2016-11-12,2
holidays,2016-12-22,2
holidays,2017-04-14,2
holidays,2017-07-03,2
holidays,2017-12-08,2
holidays,2017-12-22,2
