dataset,column_name,dtype,total_rows,missing_values,min_value,max_value,mean_value,median_value,zero_values,zero_pct,negative_values
train,id,int64,3000888,0,0.0,3000887.0,1500443.5,1500443.5,1,0.0,0
train,store_nbr,int64,3000888,0,1.0,54.0,27.5,27.5,0,0.0,0
train,sales,float64,3000888,0,0.0,124717.0,357.77574911261877,11.0,939130,31.2951,0
train,onpromotion,int64,3000888,0,0.0,741.0,2.6027702466736513,0.0,2389559,79.6284,0
test,id,int64,28512,0,3000888.0,3029399.0,3015143.5,3015143.5,0,0.0,0
test,store_nbr,int64,28512,0,1.0,54.0,27.5,27.5,0,0.0,0
test,onpromotion,int64,28512,0,0.0,646.0,6.9653829966329965,0.0,15943,55.9168,0
stores,store_nbr,int64,54,0,1.0,54.0,27.5,27.5,0,0.0,0
stores,cluster,int64,54,0,1.0,17.0,8.481481481481481,8.5,0,0.0,0
oil,dcoilwtico,float64,1218,43,26.19,110.62,67.71436595744682,53.19,0,0.0,0
transactions,store_nbr,int64,83488,0,1.0,54.0,26.939236776542735,27.0,0,0.0,0
transactions,transactions,int64,83488,0,5.0,8359.0,1694.6021583940208,1393.0,0,0.0,0
sample_submission,id,int64,28512,0,3000888.0,3029399.0,3015143.5,3015143.5,0,0.0,0
sample_submission,sales,float64,28512,0,0.0,0.0,0.0,0.0,28512,100.0,0
