output_path,exists,file_size_kb
reports/eda_business_analysis/tables/eda_input_validation_summary.csv,True,1.0
reports/eda_business_analysis/tables/eda_dataset_overview_summary.csv,True,0.33
reports/eda_business_analysis/tables/sales_overview_summary.csv,True,0.48
reports/eda_business_analysis/tables/grain_validation_summary.csv,True,0.22
reports/eda_business_analysis/tables/future_horizon_summary.csv,True,0.25
reports/eda_business_analysis/tables/daily_sales_summary.csv,True,179.44
reports/eda_business_analysis/tables/weekly_sales_summary.csv,True,23.72
reports/eda_business_analysis/tables/monthly_sales_summary.csv,True,5.72
reports/eda_business_analysis/tables/day_of_week_sales_summary.csv,True,0.94
reports/eda_business_analysis/tables/monthly_seasonality_summary.csv,True,1.5
reports/eda_business_analysis/tables/store_sales_summary.csv,True,10.67
reports/eda_business_analysis/tables/family_sales_summary.csv,True,5.79
reports/eda_business_analysis/tables/promotion_sales_summary.csv,True,0.4
reports/eda_business_analysis/tables/holiday_event_sales_summary.csv,True,1.86
reports/eda_business_analysis/tables/oil_sales_summary.csv,True,0.25
reports/eda_business_analysis/tables/transactions_sales_correlation_summary.csv,True,0.31
reports/eda_business_analysis/tables/daily_high_anomaly_candidates.csv,True,1.77
reports/eda_business_analysis/tables/daily_low_anomaly_candidates.csv,True,1.47
reports/eda_business_analysis/summaries/business_findings_summary.csv,True,4.43
reports/eda_business_analysis/summaries/modeling_candidates_summary.csv,True,2.69
reports/eda_business_analysis/summaries/analytical_risks_summary.csv,True,2.89
