city,stores,observed_store_days,total_sales,mean_daily_store_sales,median_daily_store_sales,std_daily_store_sales
Quito,18,30312,556741836.8280029,18367.043970308885,15024.02255,12805.438199972534
Guayaquil,8,13472,122967260.4818562,9127.61731605227,7733.466995,6889.056548626219
Cuenca,3,5052,49168596.0331811,9732.50119421637,10535.173999999999,6044.8672577035
Ambato,2,3368,40304401.299604,11966.86499394418,9559.1780005,6805.805697647907
Santo Domingo,3,5052,35834323.0373124,7093.09640485202,7212.8795,4615.577498718752
Machala,2,3368,33386796.5445524,9912.94434220677,9559.5105,4280.484844450926
Cayambe,1,1684,28325558.481396,16820.402898691213,16191.817979,5044.99640228786
Latacunga,2,3368,21182263.775176,6289.270717095012,6200.5380000000005,2120.38866185354
Daule,1,1684,19188021.3815342,11394.311984283966,11141.2735,4704.777363357718
Loja,1,1684,18859999.2605296,11199.524501502137,10576.697,4129.17202132078
Babahoyo,1,1684,17746872.701507,10538.522981892516,10040.744503,4265.052706017304
Esmeraldas,1,1684,16391692.2119096,9733.783973818052,9295.173999999999,3696.1949459120556
Libertad,1,1684,15322431.096578,9098.830817445369,9287.305499999999,4350.956926301449
Quevedo,1,1684,14178501.293449,8419.53758518349,8037.705,2859.2208621133755
Manta,2,3368,13912337.0159321,4130.741394279127,0.0,6429.973771630851
Guaranda,1,1684,13049509.836733,7749.115104948338,7402.065495,2829.38464195143
Ibarra,1,1684,11451270.022648,6800.041581144893,6830.9395,1826.393146123246
Salinas,1,1684,11420997.8725745,6782.065244996735,5785.175005,4758.897551527507
Riobamba,1,1684,11387918.748218,6762.422059511877,6536.87399,2287.8494329202354
El Carmen,1,1684,11057483.1179049,6566.201376428087,6154.038014,2785.0237062094884
Playas,1,1684,7676679.4216696,4558.598231395249,4416.036,2353.9101900017668
Puyo,1,1684,4090201.7408,2428.8608912114014,0.0,3168.5743938746164
