date,total_sales,mean_sales_per_row,median_sales_per_row,total_promotion_units,rows_with_promotion,zero_sales_rows,total_rows,calendar_event_count,transferred_event_count,unique_locale_names,non_transferred_event_count,is_calendar_event,has_non_transferred_event,has_transferred_event,holiday_type_additional,holiday_type_bridge,holiday_type_event,holiday_type_holiday,holiday_type_transfer,holiday_type_work_day,holiday_locale_local,holiday_locale_national,holiday_locale_regional,rows_with_promotion_pct,zero_sales_pct,is_year_start
2013-01-01,2511.618999,1.409438271043771,0.0,0,0,1765,1782,1,0,1,1,True,True,False,0,0,0,1,0,0,0,1,0,0.0,0.9904601571268238,True
2013-01-02,496092.417944,278.39080692704823,0.0,0,0,918,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5151515151515151,False
2013-01-03,361461.231124,202.8401970392817,0.0,0,0,931,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5224466891133558,False
2013-01-04,354459.6770927,198.91115437300783,0.0,0,0,923,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5179573512906847,False
2013-01-05,477350.121229,267.87324423625137,0.0,0,0,905,1782,1,0,1,1,True,True,False,0,0,0,0,0,1,0,1,0,0.0,0.5078563411896745,False
2013-01-06,519695.401088,291.6360275465769,0.0,0,0,952,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5342312008978676,False
2013-01-07,336122.801066,188.62110048597083,0.0,0,0,933,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5235690235690236,False
2013-01-08,318347.777981,178.6463400566779,0.0,0,0,928,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5207631874298541,False
2013-01-09,302530.80901799997,169.7703754309764,0.0,0,0,926,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5196408529741863,False
2013-01-10,258982.003049,145.33221270987653,0.0,0,0,924,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5185185185185185,False
2013-01-11,289737.6850845,162.59129353787878,0.0,0,0,932,1782,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0.0,0.5230078563411896,False
