date,total_sales,total_promotion_units,promoted_rows,total_rows,promoted_rows_pct
2013-01-01,2511.618999,0,0,1782,0.0
2013-01-02,496092.417944,0,0,1782,0.0
2013-01-03,361461.231124,0,0,1782,0.0
2013-01-04,354459.6770927,0,0,1782,0.0
2013-01-05,477350.121229,0,0,1782,0.0
2013-01-06,519695.401088,0,0,1782,0.0
2013-01-07,336122.801066,0,0,1782,0.0
2013-01-08,318347.777981,0,0,1782,0.0
2013-01-09,302530.80901799997,0,0,1782,0.0
2013-01-10,258982.003049,0,0,1782,0.0
2013-01-11,289737.6850845,0,0,1782,0.0
2013-01-12,403258.2120105,0,0,1782,0.0
2013-01-13,464638.547998,0,0,1782,0.0
2013-01-14,293348.362078,0,0,1782,0.0
2013-01-15,299129.549954,0,0,1782,0.0
2013-01-16,318347.913946,0,0,1782,0.0
2013-01-17,267498.5159755,0,0,1782,0.0
2013-01-18,296130.850028,0,0,1782,0.0
2013-01-19,432459.852021,0,0,1782,0.0
2013-01-20,461092.386047,0,0,1782,0.0
2013-01-21,311211.26595,0,0,1782,0.0
2013-01-22,296214.728983,0,0,1782,0.0
2013-01-23,283258.4530325,0,0,1782,0.0
2013-01-24,247245.690995,0,0,1782,0.0
2013-01-25,290022.77193,0,0,1782,0.0
2013-01-26,413799.7679753,0,0,1782,0.0
2013-01-27,430411.991233,0,0,1782,0.0
2013-01-28,285460.169953,0,0,1782,0.0
2013-01-29,264488.8180765,0,0,1782,0.0
2013-01-30,281061.127052,0,0,1782,0.0
2013-01-31,271254.217996,0,0,1782,0.0
2013-02-01,369402.055266,0,0,1782,0.0
2013-02-02,518887.462705,0,0,1782,0.0
2013-02-03,486336.82018,0,0,1782,0.0
2013-02-04,344308.715017,0,0,1782,0.0
2013-02-05,321245.83913,0,0,1782,0.0
2013-02-06,321538.177149,0,0,1782,0.0
2013-02-07,290807.530973,0,0,1782,0.0
2013-02-08,347441.789912,0,0,1782,0.0
2013-02-09,416176.2790747,0,0,1782,0.0
2013-02-10,300951.328993,0,0,1782,0.0
2013-02-11,278627.588926,0,0,1782,0.0
2013-02-12,308800.7909121,0,0,1782,0.0
2013-02-13,319597.929962,0,0,1782,0.0
2013-02-14,308164.016957,0,0,1782,0.0
2013-02-15,320168.883912,0,0,1782,0.0
2013-02-16,485660.494008,0,0,1782,0.0
2013-02-17,399588.910014,0,0,1782,0.0
2013-02-18,350745.573191,0,0,1782,0.0
2013-02-19,293637.801951,0,0,1782,0.0
2013-02-20,313803.162034,0,0,1782,0.0
2013-02-21,267711.1090155,0,0,1782,0.0
2013-02-22,285679.869131,0,0,1782,0.0
2013-02-23,412897.349113,0,0,1782,0.0
2013-02-24,452726.126103,0,0,1782,0.0
2013-02-25,307110.875933,0,0,1782,0.0
2013-02-26,270425.0070675,0,0,1782,0.0
2013-02-27,288401.998919,0,0,1782,0.0
2013-02-28,278116.291888,0,0,1782,0.0
2013-03-01,378898.165064,0,0,1782,0.0
2013-03-02,547857.205258,0,0,1782,0.0
2013-03-03,559820.580027,0,0,1782,0.0
2013-03-04,383647.679097,0,0,1782,0.0
2013-03-05,332189.993189,0,0,1782,0.0
2013-03-06,335726.580968,0,0,1782,0.0
2013-03-07,293099.52701,0,0,1782,0.0
2013-03-08,316600.679967,0,0,1782,0.0
2013-03-09,453259.496866,0,0,1782,0.0
2013-03-10,461859.756153,0,0,1782,0.0
2013-03-11,318379.133021,0,0,1782,0.0
2013-03-12,271823.37801,0,0,1782,0.0
2013-03-13,287869.663972,0,0,1782,0.0
2013-03-14,247541.420096,0,0,1782,0.0
2013-03-15,315878.090213,0,0,1782,0.0
2013-03-16,482233.433961,0,0,1782,0.0
2013-03-17,513439.584913,0,0,1782,0.0
2013-03-18,330283.80303,0,0,1782,0.0
2013-03-19,294020.245897,0,0,1782,0.0
2013-03-20,321207.006946,0,0,1782,0.0
2013-03-21,269130.127953,0,0,1782,0.0
2013-03-22,304100.453969,0,0,1782,0.0
2013-03-23,453192.003086,0,0,1782,0.0
2013-03-24,449794.636951,0,0,1782,0.0
2013-03-25,317559.6099585,0,0,1782,0.0
2013-03-26,275818.2359,0,0,1782,0.0
2013-03-27,313691.148998,0,0,1782,0.0
2013-03-28,339293.269022,0,0,1782,0.0
2013-03-29,345513.132,0,0,1782,0.0
2013-03-30,452661.356036,0,0,1782,0.0
2013-03-31,462107.639956,0,0,1782,0.0
2013-04-01,428816.447912,0,0,1782,0.0
2013-04-02,377732.827961,0,0,1782,0.0
2013-04-03,373731.0758793,0,0,1782,0.0
2013-04-04,308738.385963,0,0,1782,0.0
2013-04-05,336394.782031,0,0,1782,0.0
2013-04-06,509424.214023,0,0,1782,0.0
2013-04-07,519048.376884,0,0,1782,0.0
2013-04-08,346649.815943,0,0,1782,0.0
2013-04-09,306335.8019617,0,0,1782,0.0
2013-04-10,312846.374941,0,0,1782,0.0
2013-04-11,303223.41301,0,0,1782,0.0
2013-04-12,314394.967035,0,0,1782,0.0
2013-04-13,453442.497048,0,0,1782,0.0
2013-04-14,478417.148813,0,0,1782,0.0
2013-04-15,338712.458055,0,0,1782,0.0
2013-04-16,333431.88004899997,0,0,1782,0.0
2013-04-17,334990.518942,0,0,1782,0.0
2013-04-18,281924.509951,0,0,1782,0.0
2013-04-19,311588.70494,0,0,1782,0.0
2013-04-20,459884.838043,0,0,1782,0.0
2013-04-21,485721.032087,0,0,1782,0.0
2013-04-22,328886.320986,0,0,1782,0.0
2013-04-23,302097.8329435,0,0,1782,0.0
2013-04-24,310555.184925,0,0,1782,0.0
2013-04-25,268790.618996,0,0,1782,0.0
2013-04-26,304413.556952,0,0,1782,0.0
2013-04-27,446665.337895,0,0,1782,0.0
2013-04-28,477623.4729303,0,0,1782,0.0
2013-04-29,328795.874018,0,0,1782,0.0
2013-04-30,310186.466894,0,0,1782,0.0
2013-05-01,507974.636889,0,0,1782,0.0
2013-05-02,348709.460063,0,0,1782,0.0
2013-05-03,374291.2510323,0,0,1782,0.0
2013-05-04,520339.51596499997,0,0,1782,0.0
2013-05-05,580268.550981,0,0,1782,0.0
2013-05-06,369869.383046,0,0,1782,0.0
2013-05-07,317292.964148,0,0,1782,0.0
2013-05-08,332477.410968,0,0,1782,0.0
2013-05-09,305868.0570225,0,0,1782,0.0
2013-05-10,335937.441949,0,0,1782,0.0
2013-05-11,512090.58108,0,0,1782,0.0
2013-05-12,387860.5050145,0,0,1782,0.0
2013-05-13,350598.06187,0,0,1782,0.0
2013-05-14,308469.313119,0,0,1782,0.0
2013-05-15,329113.560081,0,0,1782,0.0
2013-05-16,307556.946937,0,0,1782,0.0
2013-05-17,330004.241998,0,0,1782,0.0
