date,family,total_sales,mean_store_sales,median_store_sales,max_store_sales,total_promotion_units,promoted_stores,zero_sales_stores,total_stores,promoted_stores_pct,zero_sales_stores_pct,family_sales_p01,family_sales_p99,family_day_anomaly_flag
2013-01-01,AUTOMOTIVE,0.0,0.0,0.0,0.0,0,0,54,54,0.0,1.0,161.0,629.0,family_bottom_1_pct
2013-01-03,AUTOMOTIVE,161.0,2.9814814814814814,2.0,22.0,0,0,12,54,0.0,0.2222222222222222,161.0,629.0,family_bottom_1_pct
2013-01-24,AUTOMOTIVE,156.0,2.888888888888889,2.0,40.0,0,0,17,54,0.0,0.3148148148148148,161.0,629.0,family_bottom_1_pct
2013-02-14,AUTOMOTIVE,161.0,2.9814814814814814,2.0,14.0,0,0,14,54,0.0,0.25925925925925924,161.0,629.0,family_bottom_1_pct
2013-03-05,AUTOMOTIVE,139.0,2.574074074074074,2.0,13.0,0,0,15,54,0.0,0.2777777777777778,161.0,629.0,family_bottom_1_pct
2013-03-12,AUTOMOTIVE,149.0,2.759259259259259,2.0,10.0,0,0,14,54,0.0,0.25925925925925924,161.0,629.0,family_bottom_1_pct
2013-09-06,AUTOMOTIVE,159.0,2.9444444444444446,2.0,13.0,0,0,12,54,0.0,0.2222222222222222,161.0,629.0,family_bottom_1_pct
2013-09-17,AUTOMOTIVE,142.0,2.6296296296296298,2.0,17.0,0,0,16,54,0.0,0.2962962962962963,161.0,629.0,family_bottom_1_pct
2013-09-19,AUTOMOTIVE,159.0,2.9444444444444446,2.0,18.0,0,0,15,54,0.0,0.2777777777777778,161.0,629.0,family_bottom_1_pct
2013-09-25,AUTOMOTIVE,155.0,2.8703703703703702,2.0,15.0,0,0,13,54,0.0,0.24074074074074073,161.0,629.0,family_bottom_1_pct
2013-10-03,AUTOMOTIVE,148.0,2.740740740740741,2.0,16.0,0,0,14,54,0.0,0.25925925925925924,161.0,629.0,family_bottom_1_pct
2013-10-14,AUTOMOTIVE,136.0,2.5185185185185186,2.0,12.0,0,0,15,54,0.0,0.2777777777777778,161.0,629.0,family_bottom_1_pct
2013-10-15,AUTOMOTIVE,149.0,2.759259259259259,1.0,23.0,0,0,15,54,0.0,0.2777777777777778,161.0,629.0,family_bottom_1_pct
2013-11-28,AUTOMOTIVE,157.0,2.9074074074074074,2.0,32.0,0,0,17,54,0.0,0.3148148148148148,161.0,629.0,family_bottom_1_pct
2014-01-01,AUTOMOTIVE,4.0,0.07407407407407407,0.0,2.0,0,0,52,54,0.0,0.9629629629629629,161.0,629.0,family_bottom_1_pct
2015-01-01,AUTOMOTIVE,1.0,0.018518518518518517,0.0,1.0,0,0,53,54,0.0,0.9814814814814815,161.0,629.0,family_bottom_1_pct
2015-10-03,AUTOMOTIVE,669.0,12.38888888888889,10.5,42.0,1,1,2,54,0.018518518518518517,0.037037037037037035,161.0,629.0,family_top_1_pct
2015-10-04,AUTOMOTIVE,696.0,12.88888888888889,10.0,40.0,0,0,2,54,0.0,0.037037037037037035,161.0,629.0,family_top_1_pct
2015-11-15,AUTOMOTIVE,652.0,12.074074074074074,10.0,42.0,0,0,2,54,0.0,0.037037037037037035,161.0,629.0,family_top_1_pct
2015-12-20,AUTOMOTIVE,629.0,11.648148148148149,10.5,37.0,0,0,2,54,0.0,0.037037037037037035,161.0,629.0,family_top_1_pct
2016-01-01,AUTOMOTIVE,4.0,0.07407407407407407,0.0,4.0,0,0,53,54,0.0,0.9814814814814815,161.0,629.0,family_bottom_1_pct
2016-01-03,AUTOMOTIVE,661.0,12.24074074074074,9.0,46.0,0,0,1,54,0.0,0.018518518518518517,161.0,629.0,family_top_1_pct
2016-01-31,AUTOMOTIVE,683.0,12.648148148148149,11.0,44.0,0,0,1,54,0.0,0.018518518518518517,161.0,629.0,family_top_1_pct
2016-03-05,AUTOMOTIVE,646.0,11.962962962962964,11.0,37.0,0,0,1,54,0.0,0.018518518518518517,161.0,629.0,family_top_1_pct
2016-03-06,AUTOMOTIVE,653.0,12.092592592592593,10.0,36.0,0,0,1,54,0.0,0.018518518518518517,161.0,629.0,family_top_1_pct
2016-04-02,AUTOMOTIVE,690.0,12.777777777777779,11.0,59.0,0,0,1,54,0.0,0.018518518518518517,161.0,629.0,family_top_1_pct
2016-04-03,AUTOMOTIVE,732.0,13.555555555555555,9.5,51.0,0,0,2,54,0.0,0.037037037037037035,161.0,629.0,family_top_1_pct
2016-05-31,AUTOMOTIVE,650.0,12.037037037037036,6.0,255.0,10,2,1,54,0.037037037037037035,0.018518518518518517,161.0,629.0,family_top_1_pct
2017-01-01,AUTOMOTIVE,5.0,0.09259259259259259,0.0,5.0,0,0,53,54,0.0,0.9814814814814815,161.0,629.0,family_bottom_1_pct
2017-02-04,AUTOMOTIVE,670.0,12.407407407407407,10.0,51.0,10,8,1,54,0.14814814814814814,0.018518518518518517,161.0,629.0,family_top_1_pct
2017-02-18,AUTOMOTIVE,629.0,11.648148148148149,10.0,37.0,34,8,1,54,0.14814814814814814,0.018518518518518517,161.0,629.0,family_top_1_pct
