family,observed_days,zero_sales_days,total_sales,mean_daily_sales,mean_zero_sales_stores_pct,zero_sales_days_pct
BOOKS,1684,1397,6438.0,3.823040380047506,0.9695500131960939,0.8295724465558195
BABY CARE,1684,793,10051.0,5.968527315914489,0.9413103721298496,0.47090261282660334
SCHOOL AND OFFICE SUPPLIES,1684,668,269316.0,159.92636579572448,0.7408287147004488,0.39667458432304037
LADIESWEAR,1684,668,651159.0,386.6739904988124,0.5984648544030967,0.39667458432304037
CELEBRATION,1684,665,761177.0,452.00534441805223,0.43633984340635174,0.39489311163895485
PLAYERS AND ELECTRONICS,1684,665,562608.0,334.0902612826603,0.4488651359197678,0.39489311163895485
PET SUPPLIES,1684,658,356584.0,211.7482185273159,0.5461533386117708,0.39073634204275537
HOME CARE,1684,637,16022744.0,9514.693586698337,0.4090899093868215,0.37826603325415675
MAGAZINES,1684,604,266359.0,158.17042755344417,0.5653866455529163,0.3586698337292161
HOME AND KITCHEN II,1684,514,1520670.0,903.0106888361045,0.34713424826251427,0.30522565320665085
HOME AND KITCHEN I,1684,514,1861491.0,1105.398456057007,0.3464524500747778,0.30522565320665085
"LIQUOR,WINE,BEER",1684,178,7746640.0,4600.1425178147265,0.17865311867687164,0.10570071258907364
PRODUCE,1684,74,122704684.67646,72865.01465347981,0.2835510688836104,0.043942992874109264
HOME APPLIANCES,1684,29,41601.0,24.703681710213775,0.7351763877892143,0.0172209026128266
HARDWARE,1684,3,103470.0,61.442992874109265,0.47862232779097386,0.0017814726840855108
AUTOMOTIVE,1684,1,554822.0,329.4667458432304,0.1278481569455441,0.0005938242280285036
SEAFOOD,1684,1,2015431.8828236,1196.8122819617577,0.19358669833729217,0.0005938242280285036
GROCERY II,1684,0,1962767.0,1165.538598574822,0.12112914577285122,0.0
EGGS,1684,0,15588296.0,9256.70783847981,0.0806171373273511,0.0
FROZEN FOODS,1684,0,14073887.7199105,8357.415510635688,0.08091404944136535,0.0
GROCERY I,1684,0,343462734.886,203956.49340023752,0.08062813407231459,0.0
DELI,1684,0,24110322.468767,14317.293627533847,0.0806171373273511,0.0
BREAD/BAKERY,1684,0,42133945.576369,25020.157705682304,0.0806061405823876,0.0
CLEANING,1684,0,97521289.0,57910.504156769595,0.0806171373273511,0.0
DAIRY,1684,0,64487709.0,38294.36401425178,0.0806171373273511,0.0
BEAUTY,1684,0,337893.0,200.64904988123516,0.2628222046274303,0.0
BEVERAGES,1684,0,216954486.0,128832.83016627078,0.0806171373273511,0.0
LAWN AND GARDEN,1684,0,548842.0,325.91567695961993,0.46784551772675287,0.0
LINGERIE,1684,0,653114.0,387.8349168646081,0.16046450250725786,0.0
MEATS,1684,0,31086468.4040749,18459.898102182244,0.0806171373273511,0.0
PERSONAL CARE,1684,0,24592051.0,14603.35570071259,0.08065012756224157,0.0
POULTRY,1684,0,31876004.471721,18928.74374805285,0.08076009501187649,0.0
PREPARED FOODS,1684,0,8799895.1169425,5225.590924550179,0.08083707222662091,0.0
