family,total_sales,mean_daily_sales,daily_sales_cv,mean_zero_sales_stores_pct,mean_promoted_stores_pct,sales_share_pct
BOOKS,6438.0,3.823040380047506,3.3923090911131557,0.9695500131960939,0.0,5.9963957235485815e-06
BABY CARE,10051.0,5.968527315914489,1.3315079587744636,0.9413103721298496,0.0005828274830650127,9.361567787727056e-06
SCHOOL AND OFFICE SUPPLIES,269316.0,159.92636579572448,2.683122348517345,0.7408287147004488,0.044580804081991734,0.0002508427012555467
HOME APPLIANCES,41601.0,24.703681710213775,0.5639660626014262,0.7351763877892143,0.0006378112078824667,3.874744617821443e-05
LADIESWEAR,651159.0,386.6739904988124,0.9850440426806074,0.5984648544030967,0.00505850268320577,0.0006064937935616916
MAGAZINES,266359.0,158.17042755344417,1.1328601280606867,0.5653866455529163,0.0017484824491950381,0.00024808853192430515
PET SUPPLIES,356584.0,211.7482185273159,0.9306652931522617,0.5461533386117708,0.03357306237353743,0.00033212469286825837
HARDWARE,103470.0,61.442992874109265,0.3268958765399051,0.47862232779097386,0.0014515703351807862,9.637264142832738e-05
LAWN AND GARDEN,548842.0,325.91567695961993,1.04477789707906,0.46784551772675287,0.04653822468549309,0.0005111950639490292
PLAYERS AND ELECTRONICS,562608.0,334.0902612826603,0.9228159970320814,0.4488651359197678,0.009336236474003695,0.0005240168072746537
CELEBRATION,761177.0,452.00534441805223,0.9044422812338301,0.43633984340635174,0.03531054807776898,0.0007089652854401271
HOME CARE,16022744.0,9514.693586698337,0.8599726520093276,0.4090899093868215,0.35781208762206385,0.014923689593214304
HOME AND KITCHEN II,1520670.0,903.0106888361045,0.8734833998779067,0.34713424826251427,0.20876220638690945,0.0014163620821572881
HOME AND KITCHEN I,1861491.0,1105.398456057007,0.7946079033305989,0.3464524500747778,0.16057446995689276,0.0017338050127095638
PRODUCE,122704684.67646,72865.01465347981,0.8487921556015651,0.2835510688836104,0.33852379695610096,0.11428795378274337
BEAUTY,337893.0,200.64904988123516,0.5004279197804069,0.2628222046274303,0.1222508137591273,0.00031471577201258165
SEAFOOD,2015431.8828236,1196.8122819617577,0.2554716170648843,0.19358669833729217,0.1821720770651887,0.0018771865677643523
"LIQUOR,WINE,BEER",7746640.0,4600.1425178147265,0.8024913467422823,0.17865311867687164,0.19702867951086478,0.007215271663229323
LINGERIE,653114.0,387.8349168646081,0.2995693550667109,0.16046450250725786,0.023401073282308435,0.0006083146934746362
AUTOMOTIVE,554822.0,329.4667458432304,0.3297055507545852,0.1278481569455441,0.033584059118500924,0.0005167648754474481
GROCERY II,1962767.0,1165.538598574822,0.3656763826773347,0.12112914577285122,0.04558150787366939,0.0018281341480463308
FROZEN FOODS,14073887.7199105,8357.415510635688,1.2346079059906694,0.08091404944136535,0.3939034045922407,0.013108511981574126
PREPARED FOODS,8799895.1169425,5225.590924550179,0.21095116328455016,0.08083707222662091,0.19440045746459048,0.008196280435990999
POULTRY,31876004.471721,18928.74374805285,0.3211212386415503,0.08076009501187649,0.21667986276062284,0.029689521108736138
PERSONAL CARE,24592051.0,14603.35570071259,0.36712468851181845,0.08065012756224157,0.42041655669921707,0.02290519873403054
GROCERY I,343462734.886,203956.49340023752,0.3031670319008878,0.08062813407231459,0.625560833993138,0.3199034598739842
DAIRY,64487709.0,38294.36401425178,0.35842886621745357,0.0806171373273511,0.5056853171461247,0.0600642781095131
MEATS,31086468.4040749,18459.898102182244,0.23478152098523578,0.0806171373273511,0.23607812087622063,0.02895414200037633
DELI,24110322.468767,14317.293627533847,0.29137670219216955,0.0806171373273511,0.43414049441365354,0.022456513598181377
BEVERAGES,216954486.0,128832.83016627078,0.4899500032838792,0.0806171373273511,0.5685866983372921,0.2020728412636037
CLEANING,97521289.0,57910.504156769595,0.26267912838502494,0.0806171373273511,0.5487375736781912,0.0908319727111751
EGGS,15588296.0,9256.70783847981,0.27591542870325464,0.0806171373273511,0.30220154834169083,0.014519041856447569
BREAD/BAKERY,42133945.576369,25020.157705682304,0.260261985254128,0.0806061405823876,0.42772939209993843,0.03924383520819629
