date,oil_price,total_promotion_units,rows_with_promotion,total_rows,rows_with_promotion_pct
2017-08-16,46.8,30539,1005,1782,0.563973063973064
2017-08-17,47.07,7505,695,1782,0.3900112233445567
2017-08-18,48.59,13777,866,1782,0.48597081930415265
2017-08-19,48.59,8614,789,1782,0.44276094276094274
2017-08-20,48.59,9513,746,1782,0.4186307519640853
2017-08-21,47.39,8100,714,1782,0.4006734006734007
2017-08-22,47.65,10295,725,1782,0.4068462401795735
2017-08-23,48.45,16500,750,1782,0.4208754208754209
2017-08-24,47.24,8268,745,1782,0.4180695847362514
2017-08-25,47.65,13991,853,1782,0.478675645342312
2017-08-26,47.65,9061,802,1782,0.4500561167227834
2017-08-27,47.65,10297,764,1782,0.4287317620650954
2017-08-28,46.4,8489,717,1782,0.40235690235690236
2017-08-29,46.46,10876,760,1782,0.4264870931537598
2017-08-30,45.96,21491,839,1782,0.4708193041526375
2017-08-31,47.26,11281,799,1782,0.4483726150392817
