store_nbr,observed_days,zero_sales_days,total_sales,mean_daily_sales,mean_zero_sales_families_pct,zero_sales_days_pct,city,state,store_type,cluster
52,1684,1566,2696169.733249,1601.0509104804037,0.9353991218599295,0.9299287410926366,Manta,Manabi,A,11
22,1684,1011,4090201.7408,2428.8608912114014,0.6854890952278125,0.600356294536817,Puyo,Pastaza,C,7
42,1684,962,8945767.8851627,5312.21370852892,0.6221658389116822,0.5712589073634204,Cuenca,Azuay,D,2
21,1684,934,9255505.91021,5496.143652143705,0.6130065500611819,0.5546318289786223,Santo Domingo,Santo Domingo de los Tsachilas,B,6
29,1684,808,9725157.696084,5775.034261332542,0.5721766357158281,0.47980997624703087,Guayaquil,Guayas,E,10
20,1684,773,12920954.5928321,7672.775886479869,0.5447167638379039,0.45902612826603323,Quito,Pichincha,B,6
53,1684,515,11216167.2826831,6660.43187807785,0.43237601669905706,0.30581947743467935,Manta,Manabi,D,13
36,1684,131,15322431.096578,9098.830817445369,0.3469553012308357,0.07779097387173396,Libertad,Guayas,E,10
18,1684,115,13259375.6899043,7873.738533197328,0.3183617649175844,0.06828978622327792,Quito,Pichincha,B,16
24,1684,106,23767732.701713,14113.85552358254,0.26148060174188437,0.06294536817102138,Guayaquil,Guayas,D,1
25,1684,66,11420997.8725745,6782.065244996735,0.29739797020082054,0.039192399049881234,Salinas,Santa Elena,D,1
12,1684,65,10659217.957236,6329.70187484323,0.33831785791405744,0.03859857482185273,Latacunga,Cotopaxi,C,15
14,1684,43,11387918.748218,6762.422059511877,0.3467393651479162,0.02553444180522565,Riobamba,Chimborazo,C,7
30,1684,28,7382073.663963,4383.654194752376,0.3393615489815015,0.0166270783847981,Guayaquil,Guayas,C,3
43,1684,9,16391692.2119096,9733.783973818052,0.3435543079248542,0.005344418052256532,Esmeraldas,Esmeraldas,E,10
17,1684,7,18030969.250161,10707.226395582542,0.3047937810408119,0.004156769596199525,Quito,Pichincha,C,12
1,1684,6,14145012.8696541,8399.651347775594,0.2303138271071763,0.0035629453681710215,Quito,Pichincha,D,13
6,1684,5,25183679.997054,14954.679333167458,0.22709278053696105,0.0029691211401425177,Quito,Pichincha,D,13
2,1684,5,21557388.6445642,12801.299670168764,0.21597207226660908,0.0029691211401425177,Quito,Pichincha,D,13
5,1684,5,15592404.5723532,9259.147608285748,0.22338587778017707,0.0029691211401425177,Santo Domingo,Santo Domingo de los Tsachilas,D,4
4,1684,5,18909700.380001,11229.038230404394,0.2272727272727273,0.0029691211401425177,Quito,Pichincha,D,9
3,1684,5,50481910.185082,29977.381345060574,0.18140430432591953,0.0029691211401425177,Quito,Pichincha,D,8
19,1684,5,13049509.836733,7749.115104948338,0.29545454545454547,0.0029691211401425177,Guaranda,Bolivar,C,15
15,1684,5,11451270.022648,6800.041581144893,0.29748794356870367,0.0029691211401425177,Ibarra,Imbabura,C,15
16,1684,5,10986412.5547492,6523.997954126603,0.3452997912617865,0.0029691211401425177,Santo Domingo,Santo Domingo de los Tsachilas,C,3
8,1684,5,30494286.928015,18108.246394308197,0.19930900453465775,0.0029691211401425177,Quito,Pichincha,D,8
10,1684,5,9613905.735863,5708.970151937649,0.33158784999640106,0.0029691211401425177,Quito,Pichincha,C,15
9,1684,5,26409441.0647935,15682.565952965262,0.21946303894047361,0.0029691211401425177,Quito,Pichincha,B,6
11,1684,5,28325558.481396,16820.402898691213,0.2410386525588426,0.0029691211401425177,Cayambe,Pichincha,B,6
13,1684,5,10523045.81794,6248.839559346794,0.33156985532282446,0.0029691211401425177,Latacunga,Cotopaxi,C,15
7,1684,5,26952049.582971,16004.780037393704,0.208324335996545,0.0029691211401425177,Quito,Pichincha,D,8
31,1684,5,17746872.701507,10538.522981892516,0.26146260706830776,0.0029691211401425177,Babahoyo,Los Rios,B,10
33,1684,5,14178501.293449,8419.53758518349,0.3317498020585906,0.0029691211401425177,Quevedo,Los Rios,C,3
32,1684,5,5951795.9975515,3534.3206636291566,0.3957928453177859,0.0029691211401425177,Guayaquil,Guayas,C,3
27,1684,5,19188021.3815342,11394.311984283966,0.2218923198733175,0.0029691211401425177,Daule,Guayas,D,1
26,1684,5,7755121.8918648,4605.179270703563,0.3092384654142374,0.0029691211401425177,Guayaquil,Guayas,D,10
28,1684,5,18383154.8339259,10916.3627279845,0.2711077521053768,0.0029691211401425177,Guayaquil,Guayas,E,10
23,1684,5,11651380.6749087,6918.872134743883,0.2822284603757288,0.0029691211401425177,Ambato,Tungurahua,D,9
38,1684,5,18859999.2605296,11199.524501502137,0.21994889512704238,0.0029691211401425177,Loja,Loja,D,4
37,1684,5,19970635.6144784,11859.047277006177,0.215738141510113,0.0029691211401425177,Cuenca,Azuay,D,2
35,1684,5,7676679.4216696,4558.598231395249,0.39116821420859427,0.0029691211401425177,Playas,Guayas,C,3
34,1684,5,17090734.15915,10148.892018497625,0.24778665515007556,0.0029691211401425177,Guayaquil,Guayas,B,6
41,1684,5,14991039.1385844,8902.042243814964,0.22624703087885986,0.0029691211401425177,Machala,El Oro,D,4
44,1684,5,62087553.250089,36869.09337891271,0.17947887425322104,0.0029691211401425177,Quito,Pichincha,A,5
