date,total_sales,zero_sales_rows,total_rows,zero_sales_pct,total_promotion_units,rows_with_promotion_pct
2013-01-01,2511.618999,1765,1782,0.9904601571268238,0,0.0
2015-01-01,12773.61698,1759,1782,0.9870931537598204,12,0.0028058361391694723
2017-01-01,12082.500997,1754,1782,0.9842873176206509,170,0.008417508417508417
2016-01-01,16433.394,1753,1782,0.9837261503928171,159,0.005611672278338945
2014-01-01,8602.065404,1732,1782,0.9719416386083053,0,0.0
2013-01-27,430411.991233,970,1782,0.5443322109988776,0,0.0
2013-02-17,399588.910014,968,1782,0.5432098765432098,0,0.0
2013-02-16,485660.494008,960,1782,0.5387205387205387,0,0.0
2013-02-24,452726.126103,958,1782,0.5375982042648709,0,0.0
2013-01-20,461092.386047,956,1782,0.5364758698092031,0,0.0
2013-02-03,486336.82018,954,1782,0.5353535353535354,0,0.0
2013-01-06,519695.401088,952,1782,0.5342312008978676,0,0.0
2013-01-13,464638.547998,951,1782,0.5336700336700336,0,0.0
2013-03-03,559820.580027,946,1782,0.5308641975308642,0,0.0
2013-01-16,318347.913946,944,1782,0.5297418630751964,0,0.0
2013-03-10,461859.756153,944,1782,0.5297418630751964,0,0.0
2013-01-28,285460.169953,943,1782,0.5291806958473625,0,0.0
2013-01-21,311211.26595,943,1782,0.5291806958473625,0,0.0
2014-05-04,646164.863883,943,1782,0.5291806958473625,58,0.013468013468013467
2013-07-14,438722.417857,942,1782,0.5286195286195287,0,0.0
