family,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,rows,zero_sales_pct,promotion_rows_pct,rmsle_delta_lightgbm_minus_baseline,wape_delta_lightgbm_minus_baseline,better_model_by_family_rmsle,sales_volume_segment
AUTOMOTIVE,864.0,6381.0,6098.8571491241455,0.5384945316225768,3.0438988048721245,0.4121499086991875,-0.3265542255507575,-0.04421608695750737,2629.9285674095154,0.0009487392000502527,864.0,6381.0,5551.659474418702,0.5092685678940209,2.8386100011503195,0.3843533993094932,-0.9598848675709467,-0.12997030646940883,2452.559040993876,0.001262416685604022,864,0.028935185185185185,0.011574074074074073,-0.029225963728555904,-0.0277965093896943,lightgbm_v1,regular_volume_family
BABY CARE,864.0,160.0,167.99999898672104,0.3060472530264825,0.2634755283921819,1.4227678533177823,0.009259258086482683,0.04999999366700649,227.64285653084517,8.212150865183498e-05,864.0,160.0,146.96930313721694,0.29207315765436576,0.26355787286592425,1.4232125134759908,-0.015081825072665566,-0.08144185539239412,227.71400215615853,0.0001172122469072591,864,0.8761574074074074,0.0011574074074074073,-0.013974095372116746,0.00044466015820843197,lightgbm_v1,regular_volume_family
BEAUTY,864.0,5757.0,4672.571451663971,0.5531427470628044,2.8069609898245997,0.42126355657607334,-1.2551256346481818,-0.18836695298524042,2425.214295208454,0.0008748891125407611,864.0,5757.0,4912.164228827021,0.4801832391898073,2.3940017527764734,0.35928739176634933,-0.9778191795983557,-0.14674930887145712,2068.417514398873,0.0010646857993333238,864,0.09259259259259259,0.5844907407407407,-0.0729595078729971,-0.06197616480972401,lightgbm_v1,regular_volume_family
BEVERAGES,864.0,3005407.0,3108517.1484375,0.27694792197648016,738.2934143631546,0.21224596535835766,119.34044958043981,0.03430821464031328,637885.5100097656,0.23011537118912048,864.0,3005407.0,2992293.865424772,0.2824898595596386,552.5161797010484,0.15883838004693068,-15.177239091699398,-0.004363180951940355,477373.97926170577,0.2457208436657858,864,0.0,0.9965277777777778,0.005541937583158463,-0.053407585311426975,baseline_rolling_mean_28_origin,high_volume_family
BOOKS,864.0,9.0,20.000000596046448,0.08198801183079778,0.03141534454361708,3.0158730761872397,0.012731482171350054,1.2222222884496052,27.142857685685158,9.791708188165757e-06,864.0,9.0,55.450112702308246,0.11678101975657695,0.07163432808937419,6.876895496579922,0.05376170451656047,5.161123633589805,61.8920594692193,3.1857976617221816e-05,864,0.9907407407407407,0.0,0.034793007925779176,3.8610224203926826,baseline_rolling_mean_28_origin,regular_volume_family
BREAD/BAKERY,864.0,466795.50089,466484.40563964844,0.2324001484092208,87.47273496416445,0.16190482312906354,-0.36006394716616374,-0.0006664486906117303,75576.44300903808,0.027263985406898422,864.0,466795.50089,470157.3399796918,0.2316341112421819,68.84399440618782,0.12742455969163888,3.891017464921031,0.007201952639393519,59481.211166946276,0.030617029886734034,864,0.0,0.9050925925925926,-0.0007660371670389077,-0.03448026343742466,lightgbm_v1,high_volume_family
CELEBRATION,864.0,10768.0,11615.999982833862,0.6073990189352472,5.6065641600224705,0.4498580455292919,0.9814814616132665,0.07875185576094561,4844.071434259415,0.0017474848992010419,864.0,10768.0,9661.811899427717,0.5584452510458455,4.950547272155034,0.39722073208970554,-1.28031030158829,-0.10272920696250767,4277.272843141949,0.002201659783030208,864,0.015046296296296295,0.005787037037037037,-0.048953767889401645,-0.05263731343958633,lightgbm_v1,regular_volume_family
CLEANING,864.0,1065243.0,1140946.8564453125,0.3670241157530916,346.8018349541558,0.28128491377121523,87.62020421911168,0.07106721794493134,299636.7854003906,0.10809311234122583,864.0,1065243.0,1083779.3844473215,0.3003434953015788,248.89843503858336,0.20187717532369237,21.45414866588133,0.017401085430574552,215048.24787333602,0.11069274655063724,864,0.0,0.9965277777777778,-0.0666806204515128,-0.07940773844752286,lightgbm_v1,high_volume_family
DAIRY,864.0,721034.0,752379.435546875,0.2167926027893581,133.887155674122,0.16043418549255847,36.279439290364586,0.043472895240550376,115678.5025024414,0.04173068853930133,864.0,721034.0,761418.1834907787,0.19844197347607223,95.8415860270111,0.1148449730905028,46.74095311432713,0.056008709007867405,82807.1303273376,0.04262368459429836,864,0.0,0.9965277777777778,-0.018350629313285877,-0.04558921240205567,lightgbm_v1,high_volume_family
DELI,864.0,261902.894004,272391.4588623047,0.2395517019507765,56.34729502839153,0.185885929552908,12.139542660074868,0.04004753325919528,48684.06290453028,0.017562636288914864,864.0,261902.894004,282916.1201934527,0.21059237937630837,43.13758359605897,0.14230798162324132,24.32086364519987,0.08023289039765921,37270.87222699495,0.019184602776089275,864,0.0,0.9965277777777778,-0.02895932257446812,-0.04357794792966668,lightgbm_v1,regular_volume_family
EGGS,864.0,172529.0,170869.71466064453,0.39585587218372875,54.249586520371615,0.27167399540715514,-1.9204691427725333,-0.009617428602469549,46871.642753601074,0.01690881090922356,864.0,172529.0,169606.82266155165,0.32760340673473615,37.09153431017214,0.1857489792671883,-3.3821496972782046,-0.016937311051755666,32047.085643988732,0.016495739741930034,864,0.0,0.5590277777777778,-0.0682524654489926,-0.08592501613996684,lightgbm_v1,regular_volume_family
FROZEN FOODS,864.0,110014.157977,112347.44345092773,0.37488787520277606,34.35891929923983,0.2698389627337739,2.700561891120064,0.021208956345560043,29686.106274543214,0.01070917783415649,864.0,110014.157977,104993.48156016154,0.30782671058765954,24.743570936366268,0.1943244913394685,-5.8109680750445305,-0.04563663903956886,21378.445289020456,0.01100422277059446,864,0.0,0.7916666666666666,-0.06706116461511652,-0.0755144713943054,lightgbm_v1,regular_volume_family
GROCERY I,864.0,3980412.484,3902811.986328125,0.2216383720798841,775.4987261940286,0.16833202642312903,-89.81539082392939,-0.01949559197289342,670030.8994316406,0.24171172837666713,864.0,3980412.484,3897033.7463443736,0.2350485658773267,551.5564355737425,0.11972245646682922,-96.50316858290044,-0.020947260614517408,476544.76033571357,0.2452940160988674,864,0.0,0.9965277777777778,0.013410193797442599,-0.04860956995629981,baseline_rolling_mean_28_origin,high_volume_family
GROCERY II,864.0,25031.0,29641.714191436768,0.679503423578125,12.670469530202725,0.4373491140623688,5.33647475860737,0.18420015945974064,10947.285674095154,0.003949201960033833,864.0,25031.0,24875.25742830525,0.5994668990236921,10.13224912484854,0.3497368560532595,-0.18025760612818398,-0.006221987603162117,8754.263243869138,0.004506121077824029,864,0.017361111111111112,0.11805555555555555,-0.08003652455443289,-0.08761225800910932,lightgbm_v1,regular_volume_family
HARDWARE,864.0,1252.0,1272.571428000927,0.5557051339491679,1.113260579769741,0.768256502333112,0.02380952314922103,0.016430853035884162,961.8571409210563,0.0003469872093670328,864.0,1252.0,1016.1246179493303,0.5311374938166292,1.0663498962915907,0.7358836345015451,-0.2730039144104976,-0.18839886745261158,921.3263103959345,0.00047423841289402104,864,0.375,0.0,-0.02456764013253865,-0.0323728678315669,lightgbm_v1,regular_volume_family
HOME AND KITCHEN I,864.0,27020.0,26548.57144165039,0.5102635264027628,11.226190445599732,0.3589721889340551,-0.545634905497233,-0.017447392981110636,9699.428544998169,0.003499041073876148,864.0,27020.0,21517.084843162513,0.4938973427903649,11.135217180601503,0.3560631992612768,-6.369114764858207,-0.20366081261426675,9620.827644039698,0.004952171647714668,864,0.0011574074074074073,0.5115740740740741,-0.016366183612397944,-0.002908989672778306,lightgbm_v1,regular_volume_family
HOME AND KITCHEN II,864.0,26789.0,25828.0001373291,0.48490886685829876,11.374090660501409,0.36683766959099695,-1.1122683595727991,-0.03587292779390416,9827.214330673218,0.003545139430151488,864.0,26789.0,23459.725931927387,0.46230638846920974,10.387292018713438,0.33501139662430146,-3.8533264676766374,-0.1242776538158428,8974.620304168411,0.004619546453141283,864,0.0,0.5891203703703703,-0.02260247838908902,-0.03182627296669549,lightgbm_v1,regular_volume_family
HOME APPLIANCES,864.0,173.0,322.8571426868439,0.3674675062639287,0.42948082046307345,2.144921554220205,0.17344576699866188,0.8662262583054559,371.0714288800955,0.00013386295542771185,864.0,173.0,309.1234534037339,0.36151853940080425,0.418893366987425,2.0920454859950013,0.15755029329135867,0.7868407711198491,361.92386907713524,0.0001862946920357062,864,0.8530092592592593,0.0,-0.005948966863124461,-0.05287606822520363,lightgbm_v1,regular_volume_family
