store_nbr,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,city,state,store_type,cluster,rmsle_delta_lightgbm_minus_baseline,wape_delta_lightgbm_minus_baseline,better_model_by_store_rmsle,sales_volume_segment
1,528.0,155135.629205,168685.21040034294,0.49986126523938573,76.72332932636903,0.26112581675736174,25.662085597240416,0.08734022780439553,40509.917884322844,0.014613836879049076,528.0,155135.629205,163862.72402250406,0.3976096439120061,43.45335691466563,0.14789234793140602,16.528588669515262,0.05625461321958387,22943.372450943454,0.011809744728657475,Quito,Pichincha,D,13,-0.10225162132737964,-0.11323346882595572,lightgbm_v1,regular_volume_store
2,528.0,213634.601094,238940.57484912872,0.40168121060949746,78.58399243781106,0.19422110367274942,47.92798059683471,0.1184544714458216,41492.34800716424,0.014968245732734373,528.0,213634.601094,234574.21856621755,0.3606708617703084,53.75470640585936,0.13285528110591666,39.658366424654446,0.09801603937277945,28382.484982293743,0.014609443451372824,Quito,Pichincha,D,13,-0.04101034883918908,-0.06136582256683276,lightgbm_v1,regular_volume_store
3,528.0,538086.824756,582870.1993427277,0.37024251022698357,157.04532080258264,0.15410139324887648,84.81699732334783,0.08322704167126765,82919.92938376364,0.02991312708894784,528.0,538086.824756,571805.8114687593,0.32559185378619154,126.4453882371063,0.12407507844011317,63.86171725901374,0.06266458341188622,66763.16498919213,0.03436530255024383,Quito,Pichincha,D,8,-0.044650656440792025,-0.030026314808763305,lightgbm_v1,high_volume_store
4,528.0,187479.341041,202040.6013340354,0.40437433396784045,75.63110938397271,0.21300067267680742,27.578144494385217,0.07766861251048976,39933.22575473759,0.014405796844624525,528.0,187479.341041,199545.34826191713,0.3415099245457955,48.98115950215212,0.13794614421799428,22.852286403252126,0.06435912967220422,25862.05221713632,0.01331208982012715,Quito,Pichincha,D,9,-0.06286440942204496,-0.07505452845881314,lightgbm_v1,regular_volume_store
5,528.0,156442.8788897,167616.4709429741,0.413024231840178,48.552290631342,0.163865620699955,21.16210616150396,0.0714228230302003,25635.609453348574,0.009247972704265254,528.0,156442.8788897,165060.85725692063,0.3723221528717728,35.16537089488735,0.1186843144557024,16.32192872579664,0.05508706071112858,18567.31583250052,0.009557237531101262,Santo Domingo,Santo Domingo de los Tsachilas,D,4,-0.04070207896840522,-0.045181306244252595,lightgbm_v1,regular_volume_store
6,528.0,257699.853928,277964.90420532227,0.36772659639977906,91.04639391630553,0.18654452167924213,38.38077704038307,0.07863819078059787,48072.49598780932,0.01734201527489297,528.0,257699.853928,276258.69295995374,0.31798314719577153,52.19143449483505,0.10693478088261629,35.149316348397186,0.07201726640147411,27557.077413272906,0.014184577721276681,Quito,Pichincha,D,13,-0.04974344920400753,-0.07960974079662583,lightgbm_v1,regular_volume_store
7,528.0,286238.018037,311293.85431849957,0.3715059966058295,90.4731856195054,0.1668885298141073,47.45423538162796,0.08753496985945732,47769.84200709885,0.01723283371798319,528.0,286238.018037,312128.3639583953,0.3427830730370614,73.84905686092895,0.13622335107676098,49.03474606324873,0.09045040941433811,38992.30202257049,0.020070682034817263,Quito,Pichincha,D,8,-0.0287229235687681,-0.03066517873734631,lightgbm_v1,regular_volume_store
8,528.0,324826.412986,349405.3874207139,0.3877842175180902,105.00162451232082,0.17067841630506472,46.551087944533904,0.07566802899052806,55440.85774250539,0.020000130679037588,528.0,324826.412986,333213.3015530992,0.35039479838345117,64.68589219588365,0.10514585549081752,15.884258649809047,0.02581960158350992,34154.15107942657,0.01758031895853405,Quito,Pichincha,D,8,-0.03738941913463906,-0.0655325608142472,lightgbm_v1,high_volume_store
9,528.0,303853.3809465,276694.9380071163,0.6901733840667481,114.38340038822683,0.19876176864267808,-51.43644496095395,-0.0893800913282104,60394.435404983764,0.021787119636504104,528.0,303853.3809465,294036.24646209716,0.4335300629346452,69.37328645125402,0.12054858541367183,-18.593057735611474,-0.032308788053707245,36629.09524626212,0.01885425804009247,Quito,Pichincha,B,6,-0.2566433211321029,-0.07821318322900625,lightgbm_v1,high_volume_store
10,528.0,114855.501021,99893.28344476223,0.49246416968763307,43.13655081299193,0.19830220256577344,-28.33753328832911,-0.13026992563031095,22776.09882925974,0.008216412434662389,528.0,114855.501021,103635.552194364,0.4055153101221527,33.399368492834554,0.15353959024559313,-21.24990308075,-0.09768751802827938,17634.866564216645,0.00907727374833997,Quito,Pichincha,C,15,-0.08694885956548037,-0.044762612320180306,lightgbm_v1,regular_volume_store
11,528.0,340283.811002,316438.9933063984,0.5287692551567962,104.84857084257561,0.16268786117643,-45.160639575003046,-0.07007332386864994,55360.04540487992,0.019970977859640485,528.0,340283.811002,341509.0293460365,0.38676509791579294,72.12924208231894,0.111919046948844,2.3204892879478964,0.003600577824812502,38084.2398194644,0.019603271115199633,Cayambe,Pichincha,B,6,-0.14200415724100324,-0.050768814227586,lightgbm_v1,high_volume_store
12,528.0,123828.406029,123395.61839020252,0.5128796736529622,41.48043088994733,0.1768711090794702,-0.8196735583285576,-0.0034950594348773754,21901.667509892188,0.007900963840082185,528.0,123828.406029,107233.48040137891,0.4090401852135629,45.19996931947555,0.19273109108013461,-31.42978338564599,-0.1340154990264079,23865.58380068309,0.01228443870181171,Latacunga,Cotopaxi,C,15,-0.10383948843939927,0.015859982000664408,lightgbm_v1,regular_volume_store
13,528.0,114921.912025,104504.29673403502,0.5156710403219599,44.52699723921689,0.20457590835411893,-19.730331990463988,-0.09064951241586326,23510.254542306517,0.008481257005933157,528.0,114921.912025,108624.23729088064,0.40256348763403704,33.21911406569199,0.15262269760069605,-11.927414269165446,-0.05479959933793448,17539.69222668537,0.009028284235862381,Latacunga,Cotopaxi,C,15,-0.11310755268792283,-0.05195321075342288,lightgbm_v1,regular_volume_store
14,528.0,136648.141012,129410.20137906075,0.5729196180573045,65.6185599358108,0.25354607380326927,-13.708219001778893,-0.052967713862303104,34646.5996461081,0.012498661613873247,528.0,136648.141012,111743.16431369755,0.4616696562570084,58.648563261969834,0.22661443597392736,-47.16851647405767,-0.18225624230127935,30966.441402320073,0.015939494897634018,Riobamba,Chimborazo,C,7,-0.11124996180029612,-0.02693163782934191,lightgbm_v1,regular_volume_store
15,528.0,125263.497994,121633.06598901749,0.49626805553798253,41.259347762705545,0.17391287939086617,-6.875818191254759,-0.028982361686533873,21784.93561870853,0.00785885314459245,528.0,125263.497994,128304.5345276935,0.4016289125189162,31.04279219479284,0.1308489267929889,5.75953888957102,0.024277116497570222,16390.594278850618,0.008436803909194253,Ibarra,Imbabura,C,15,-0.09463914301906634,-0.043063952597877264,lightgbm_v1,regular_volume_store
16,528.0,104594.092001,103334.96065658331,0.47256445251061713,46.375056234064516,0.23410528475501236,-2.384718455334642,-0.012038264497813603,24486.029691586064,0.008833265096962134,528.0,104594.092001,100927.53853275746,0.41904029140725463,30.988117596226477,0.15643069104372692,-6.944230053489644,-0.035055072405117106,16361.72609080758,0.008421944457633846,Santo Domingo,Santo Domingo de los Tsachilas,C,3,-0.0535241611033625,-0.07767459371128543,lightgbm_v1,regular_volume_store
