family,rows,actual_total_sales,predicted_total_sales,rmsle,mae,wape,bias,total_bias_pct,mean_absolute_error,total_absolute_error,error_contribution_pct
SCHOOL AND OFFICE SUPPLIES,864.0,51795.0,12979.737869856019,0.7613227868363454,45.87271420189689,0.7652094810394615,-44.925071909888864,-0.749401720825253,45.87271420189689,39634.02507043891,0.020400999009709524
LINGERIE,864.0,6716.0,5583.748683695156,0.6256324228153037,3.879798244704383,0.4991283030709629,-1.3104760605380148,-0.16859013048017335,3.879798244704383,3352.145683424587,0.0017254649419635574
GROCERY II,864.0,25031.0,24875.25742830525,0.5994668990236921,10.13224912484854,0.3497368560532595,-0.18025760612818398,-0.006221987603162117,10.13224912484854,8754.263243869138,0.004506121077824029
CELEBRATION,864.0,10768.0,9661.811899427717,0.5584452510458455,4.950547272155034,0.39722073208970554,-1.28031030158829,-0.10272920696250767,4.950547272155034,4277.272843141949,0.002201659783030208
MAGAZINES,864.0,6146.0,4390.496527965813,0.5354612464415056,2.983708537885973,0.4194474742488579,-2.0318327222617913,-0.28563349691412093,2.983708537885973,2577.9241767334806,0.0013269464426885061
HARDWARE,864.0,1252.0,1016.1246179493303,0.5311374938166292,1.0663498962915907,0.7358836345015451,-0.2730039144104976,-0.18839886745261158,1.0663498962915907,921.3263103959345,0.00047423841289402104
LADIESWEAR,864.0,8711.0,8982.334332428054,0.5214056413110918,3.7724533259099893,0.3741705514391265,0.3140443662361722,0.031148471177597753,3.7724533259099893,3259.3996735862306,0.0016777253734613906
AUTOMOTIVE,864.0,6381.0,5551.659474418702,0.5092685678940209,2.8386100011503195,0.3843533993094932,-0.9598848675709467,-0.12997030646940883,2.8386100011503195,2452.559040993876,0.001262416685604022
SEAFOOD,864.0,17260.919022000002,16597.10995637067,0.5073922059855522,4.464713141549134,0.22348243157747497,-0.768297529663576,-0.038457341974854876,4.464713141549134,3857.5121542984516,0.0019855944860488446
HOME AND KITCHEN I,864.0,27020.0,21517.084843162513,0.4938973427903649,11.135217180601503,0.3560631992612768,-6.369114764858207,-0.20366081261426675,11.135217180601503,9620.827644039698,0.004952171647714668
BEAUTY,864.0,5757.0,4912.164228827021,0.4801832391898073,2.3940017527764734,0.35928739176634933,-0.9778191795983557,-0.14674930887145712,2.3940017527764734,2068.417514398873,0.0010646857993333238
PET SUPPLIES,864.0,7283.0,6560.5098583821045,0.47056665974377654,2.6634455883414754,0.3159710268195846,-0.836215441687379,-0.0992022712642998,2.6634455883414754,2301.216988327035,0.0011845157138733848
"LIQUOR,WINE,BEER",864.0,84091.0,77472.1130623447,0.469401821384207,26.888571436929286,0.2762688720731934,-7.660748770434372,-0.07871100281427626,26.888571436929286,23231.725721506904,0.011958170097434847
PLAYERS AND ELECTRONICS,864.0,10084.0,8949.149444156192,0.4676889587744345,3.512661747226877,0.30096586172193784,-1.313484439634038,-0.11253972192025072,3.512661747226877,3034.9397496040215,0.0015621881127682814
HOME AND KITCHEN II,864.0,26789.0,23459.725931927387,0.46230638846920974,10.387292018713438,0.33501139662430146,-3.8533264676766374,-0.1242776538158428,10.387292018713438,8974.620304168411,0.004619546453141283
