family,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rmsle_improvement_abs,rmsle_improvement_pct,mae_improvement_abs,mae_improvement_pct,wape_improvement_pp,absolute_error_reduction,absolute_error_reduction_pct,abs_total_bias_pct_lightgbm,abs_total_bias_pct_baseline,abs_total_bias_improvement_pp
SCHOOL AND OFFICE SUPPLIES,864.0,51795.0,12979.737869856019,0.7613227868363454,45.87271420189689,0.7652094810394615,-44.925071909888864,-0.749401720825253,39634.02507043891,0.020400999009709524,864.0,51795.0,3966.28564453125,1.6422430436636155,55.91013566949577,0.9326451823234743,-55.35730828813933,-0.92342338749819,48306.35721844435,0.017426380044196946,0.8809202568272702,0.536412841099366,10.037421467598882,0.1795277608863904,16.743570128401274,8672.332148005436,0.17952776088639041,0.749401720825253,0.92342338749819,17.402166667293695
LINGERIE,864.0,6716.0,5583.748683695156,0.6256324228153037,3.879798244704383,0.4991283030709629,-1.3104760605380148,-0.16859013048017335,3352.145683424587,0.0017254649419635574,864.0,6716.0,5418.857421875,0.6622683569683057,4.084573425076626,0.5254722214511919,-1.501322771664019,-0.1931421349203395,3529.071439266205,0.0012731024164308634,0.036635934153001926,0.05531886548333944,0.20477518037224307,0.05013379833376395,2.634391838022898,176.92575584161796,0.05013379833376393,0.16859013048017335,0.1931421349203395,2.455200444016614
GROCERY II,864.0,25031.0,24875.25742830525,0.5994668990236921,10.13224912484854,0.3497368560532595,-0.18025760612818398,-0.006221987603162117,8754.263243869138,0.004506121077824029,864.0,25031.0,29641.71484375,0.6795034334208582,12.670469530202725,0.4373491140623688,5.33647475860737,0.18420018551995526,10947.285674095154,0.003949201960033833,0.08003653439716607,0.11778679909567806,2.538220405354185,0.2003256784844321,8.761225800910932,2193.022430226016,0.20032567848443214,0.006221987603162117,0.18420018551995526,17.797819791679316
CELEBRATION,864.0,10768.0,9661.811899427717,0.5584452510458455,4.950547272155034,0.39722073208970554,-1.28031030158829,-0.10272920696250767,4277.272843141949,0.002201659783030208,864.0,10768.0,11615.9990234375,0.607399020193736,5.6065641600224705,0.4498580455292919,0.9814814616132665,0.07875176666395803,4844.071434259415,0.0017474848992010419,0.048953769147890513,0.08059573282201907,0.6560168878674366,0.11700871855621596,5.263731343958633,566.7985911174655,0.11700871855621603,0.10272920696250767,0.07875176666395803,-2.3977440298549646
MAGAZINES,864.0,6146.0,4390.496527965813,0.5354612464415056,2.983708537885973,0.4194474742488579,-2.0318327222617913,-0.28563349691412093,2577.9241767334806,0.0013269464426885061,864.0,6146.0,5551.4287109375,0.5441032603488151,2.9640376940369606,0.41668216199933844,-0.6881613723105855,-0.09674117947648878,2560.928567647934,0.0009238476477136235,0.008642013907309454,0.015883040108543387,-0.01967084384901252,-0.00663650259528961,-0.27653122495194804,-16.995609085546675,-0.0066365025952895545,0.28563349691412093,0.09674117947648878,-18.889231743763215
HARDWARE,864.0,1252.0,1016.1246179493303,0.5311374938166292,1.0663498962915907,0.7358836345015451,-0.2730039144104976,-0.18839886745261158,921.3263103959345,0.00047423841289402104,864.0,1252.0,1272.5714111328125,0.5557051374135925,1.113260579769741,0.768256502333112,0.02380952314922103,0.01643083956294928,961.8571409210563,0.0003469872093670328,0.024567643596963284,0.0442098550884521,0.046910683478150306,0.042138098061329884,3.23728678315669,40.530830525121814,0.04213809806132983,0.18839886745261158,0.01643083956294928,-17.19680278896623
LADIESWEAR,864.0,8711.0,8982.334332428054,0.5214056413110918,3.7724533259099893,0.3741705514391265,0.3140443662361722,0.031148471177597753,3259.3996735862306,0.0016777253734613906,864.0,8711.0,9832.0,0.5801886819393828,4.505042968680048,0.44683241016410985,1.2974536296118189,0.1286878659166571,3892.357124939561,0.001404156687290753,0.05878304062829098,0.10131711020593909,0.7325896427700584,0.162615461797627,7.266185872498338,632.9574513533303,0.16261546179762695,0.031148471177597753,0.1286878659166571,9.753939473905934
AUTOMOTIVE,864.0,6381.0,5551.659474418702,0.5092685678940209,2.8386100011503195,0.3843533993094932,-0.9598848675709467,-0.12997030646940883,2452.559040993876,0.001262416685604022,864.0,6381.0,6098.85693359375,0.5384945342500284,3.0438988048721245,0.4121499086991875,-0.3265542255507575,-0.04421612073440683,2629.9285674095154,0.0009487392000502527,0.029225966356007493,0.05427346889734184,0.20528880372180502,0.06744271635877504,2.7796509389694304,177.36952641563948,0.06744271635877502,0.12997030646940883,0.04421612073440683,-8.5754185735002
SEAFOOD,864.0,17260.919022000002,16597.10995637067,0.5073922059855522,4.464713141549134,0.22348243157747497,-0.768297529663576,-0.038457341974854876,3857.5121542984516,0.0019855944860488446,864.0,17260.919022000002,17428.572265625,0.5543246395285695,5.260623027158004,0.26332191754514533,0.1940435845402963,0.009712880490970079,4545.178295464515,0.0016396600552433594,0.04693243354301724,0.08466597043734402,0.7959098856088698,0.15129574605516863,3.983948596767037,687.6661411660634,0.15129574605516863,0.038457341974854876,0.009712880490970079,-2.87444614838848
HOME AND KITCHEN I,864.0,27020.0,21517.084843162513,0.4938973427903649,11.135217180601503,0.3560631992612768,-6.369114764858207,-0.20366081261426675,9620.827644039698,0.004952171647714668,864.0,27020.0,26548.5703125,0.5102635286950384,11.226190445599732,0.3589721889340551,-0.545634905497233,-0.01744743477054034,9699.428544998169,0.003499041073876148,0.016366185904673536,0.03207398723269299,0.09097326499822955,0.008103663076007038,0.2908989672778306,78.60090095847045,0.00810366307600705,0.20366081261426675,0.01744743477054034,-18.621337784372642
